STATE,SALES_MONTH,CATEGORY_GROUP,TOTAL_DOLLARS
Oregon,2022-09-01,Pre-Rolls,10288998.12
Manitoba,2022-09-01,Other,1336272.31
Nevada,2022-09-01,Edibles,8040909.17
Virginia,2022-09-01,Other,275160.14
Manitoba,2022-09-01,Flower,5622544.69
Puerto Rico,2022-09-01,Concentrates,441641.78
Massachusetts,2022-09-01,Pre-Rolls,31651658.14
Arizona,2022-09-01,Concentrates,13411265.11
Vermont,2022-09-01,Flower,362097.88
Alaska,2022-09-01,Edibles,86704.62
New Jersey,2022-09-01,Pre-Rolls,2322777.57
District of Columbia,2022-09-01,Other,385025.42
Nova Scotia,2022-09-01,Edibles,10838.97
Vermont,2022-09-01,Edibles,152723.36
California,2022-09-01,Flower,136258950.31
California,2022-09-01,Concentrates,24932825.62
Puerto Rico,2022-09-01,Vapes,1252521.30
Delaware,2022-09-01,Flower,966544.17
Pennsylvania,2022-09-01,Concentrates,7974615.10
Texas,2022-09-01,Concentrates,35549.30
Nova Scotia,2022-09-01,Pre-Rolls,362.57
South Dakota,2022-09-01,Pre-Rolls,269909.18
Northern Mariana Islands,2022-09-01,Flower,0.00
Oregon,2022-09-01,Vapes,18751212.33
Colorado,2022-09-01,Flower,113374693.58
Oklahoma,2022-09-01,Flower,60100997.40
Arizona,2022-09-01,Vapes,22445237.67
Washington,2022-09-01,Edibles,11445925.74
Yukon,2022-09-01,Other,63161.79
Michigan,2022-09-01,Pre-Rolls,26550608.60
New Jersey,2022-09-01,Vapes,9938065.12
British Columbia,2022-09-01,Edibles,4933433.38
Ontario,2022-09-01,Pre-Rolls,40847620.14
Washington,2022-09-01,Vapes,20576177.44
British Columbia,2022-09-01,Vapes,10793525.94
Hawaii,2022-09-01,Other,275973.52
Washington,2022-09-01,Flower,29834617.12
Ontario,2022-09-01,Edibles,11345105.64
Alberta,2022-09-01,Vapes,17316058.59
Arkansas,2022-09-01,Other,520161.29
Minnesota,2022-09-01,Flower,1108734.46
Illinois,2022-09-01,Flower,52722618.37
North Dakota,2022-09-01,Concentrates,130056.23
Hawaii,2022-09-01,Edibles,302015.16
West Virginia,2022-09-01,Concentrates,237962.55
New Brunswick,2022-09-01,Vapes,470604.36
British Columbia,2022-09-01,Concentrates,3064467.23
Missouri,2022-09-01,Edibles,4614855.05
Illinois,2022-09-01,Other,2784746.15
Manitoba,2022-09-01,Concentrates,507967.95
Nevada,2022-09-01,Vapes,16656494.87
Alberta,2022-09-01,Flower,25582548.90
Montana,2022-09-01,Flower,2065707.56
Massachusetts,2022-09-01,Flower,55087538.54
New York,2022-09-01,Other,1613848.71
New York,2022-09-01,Vapes,5228491.92
Pennsylvania,2022-09-01,Flower,27512425.25
New Hampshire,2022-09-01,Edibles,206944.93
New Brunswick,2022-09-01,Other,54214.24
New Hampshire,2022-09-01,Pre-Rolls,179639.86
Louisiana,2022-09-01,Edibles,26409.62
West Virginia,2022-09-01,Other,143712.96
Arkansas,2022-09-01,Concentrates,2317556.96
South Dakota,2022-09-01,Concentrates,26830.78
Nunavut,2022-09-01,Edibles,8753.16
Mississippi,2022-09-01,Other,1477.91
Manitoba,2022-09-01,Pre-Rolls,2634373.74
Connecticut,2022-09-01,Flower,5598338.99
Arizona,2022-09-01,Pre-Rolls,11681223.67
Montana,2022-09-01,Vapes,997153.56
Vermont,2022-09-01,Concentrates,51797.51
North Dakota,2022-09-01,Other,125193.96
Ontario,2022-09-01,Concentrates,6937176.01
Michigan,2022-09-01,Vapes,45213023.26
Arizona,2022-09-01,Other,1778598.30
Florida,2022-09-01,Edibles,356674.47
Vermont,2022-09-01,Pre-Rolls,18371.39
Newfoundland and Labrador,2022-09-01,Vapes,708.86
Virginia,2022-09-01,Flower,1342848.07
New Hampshire,2022-09-01,Concentrates,77104.59
Saskatchewan,2022-09-01,Edibles,594956.44
North Dakota,2022-09-01,Pre-Rolls,7290.98
Utah,2022-09-01,Flower,1767017.07
Iowa,2022-09-01,Vapes,187621.23
Puerto Rico,2022-09-01,Flower,7473098.90
Ontario,2022-09-01,Other,10589924.02
Maine,2022-09-01,Flower,11809622.22
Illinois,2022-09-01,Edibles,16607824.22
Manitoba,2022-09-01,Edibles,1048948.57
New York,2022-09-01,Edibles,1836251.87
Ontario,2022-09-01,Flower,68038158.28
Ohio,2022-09-01,Flower,20491524.73
Ohio,2022-09-01,Concentrates,2391344.45
Florida,2022-09-01,Pre-Rolls,378704.82
Virginia,2022-09-01,Concentrates,89439.23
New Jersey,2022-09-01,Other,798996.21
Ohio,2022-09-01,Pre-Rolls,29600.72
Mississippi,2022-09-01,Flower,510615.70
Oregon,2022-09-01,Edibles,11360429.60
Alaska,2022-09-01,Other,87104.15
Illinois,2022-09-01,Vapes,36223572.33
Connecticut,2022-09-01,Vapes,3160212.69
Utah,2022-09-01,Edibles,730327.58
Montana,2022-09-01,Other,534785.82
British Columbia,2022-09-01,Pre-Rolls,16447354.19
Newfoundland and Labrador,2022-09-01,Other,326698.35
Maine,2022-09-01,Edibles,4047200.37
Ohio,2022-09-01,Other,1530503.03
Delaware,2022-09-01,Pre-Rolls,161806.49
Mississippi,2022-09-01,Vapes,0.00
Northern Mariana Islands,2022-09-01,Edibles,0.00
Missouri,2022-09-01,Vapes,6457751.09
Alberta,2022-09-01,Pre-Rolls,15887182.10
Newfoundland and Labrador,2022-09-01,Concentrates,721933.59
Connecticut,2022-09-01,Concentrates,899546.44
Utah,2022-09-01,Vapes,2362685.04
Colorado,2022-09-01,Pre-Rolls,2219432.00
New Brunswick,2022-09-01,Concentrates,0.00
Mississippi,2022-09-01,Edibles,0.00
Michigan,2022-09-01,Concentrates,12612925.83
Connecticut,2022-09-01,Other,688284.01
Massachusetts,2022-09-01,Other,5723394.60
New Jersey,2022-09-01,Flower,18600297.47
Illinois,2022-09-01,Concentrates,7742529.89
Newfoundland and Labrador,2022-09-01,Edibles,357606.37
Florida,2022-09-01,Flower,103284110.60
Delaware,2022-09-01,Other,187885.56
Yukon,2022-09-01,Edibles,22054.96
Rhode Island,2022-09-01,Flower,324673.60
Louisiana,2022-09-01,Flower,113284.47
Vermont,2022-09-01,Vapes,288955.55
Mississippi,2022-09-01,Concentrates,0.00
Mississippi,2022-09-01,Pre-Rolls,6711.68
Maryland,2022-09-01,Pre-Rolls,2426646.04
Alberta,2022-09-01,Edibles,4154968.35
Nevada,2022-09-01,Other,2006760.86
New York,2022-09-01,Flower,5202582.55
Missouri,2022-09-01,Concentrates,2528189.80
District of Columbia,2022-09-01,Pre-Rolls,324080.09
Minnesota,2022-09-01,Other,236372.45
Nunavut,2022-09-01,Other,31867.42
New Hampshire,2022-09-01,Vapes,323059.49
British Columbia,2022-09-01,Other,4919949.89
South Carolina,2022-09-01,Edibles,0.00
Ontario,2022-09-01,Vapes,24316501.76
Maine,2022-09-01,Concentrates,1471088.30
Colorado,2022-09-01,Other,8238058.75
Newfoundland and Labrador,2022-09-01,Flower,1629230.61
Colorado,2022-09-01,Edibles,4665343.21
Michigan,2022-09-01,Edibles,21085693.79
Hawaii,2022-09-01,Vapes,900601.53
Virginia,2022-09-01,Pre-Rolls,148604.44
Nunavut,2022-09-01,Vapes,83541.13
Rhode Island,2022-09-01,Other,12196.36
Rhode Island,2022-09-01,Vapes,8309.48
Rhode Island,2022-09-01,Concentrates,106844.28
Oregon,2022-09-01,Flower,27154179.08
South Carolina,2022-09-01,Flower,0.00
New Brunswick,2022-09-01,Flower,1339689.86
Nova Scotia,2022-09-01,Vapes,713.48
Pennsylvania,2022-09-01,Pre-Rolls,0.03
Connecticut,2022-09-01,Pre-Rolls,987497.37
Missouri,2022-09-01,Other,464646.66
Montana,2022-09-01,Edibles,542282.09
Oklahoma,2022-09-01,Other,13139071.86
New Mexico,2022-09-01,Edibles,6072176.51
Illinois,2022-09-01,Pre-Rolls,8942899.32
Saskatchewan,2022-09-01,Vapes,3261966.78
Maine,2022-09-01,Vapes,3554616.94
New Mexico,2022-09-01,Flower,15305028.81
District of Columbia,2022-09-01,Flower,2577645.23
Utah,2022-09-01,Other,408545.81
New Mexico,2022-09-01,Concentrates,1682185.17
Saskatchewan,2022-09-01,Concentrates,381680.48
Pennsylvania,2022-09-01,Edibles,149297.01
Iowa,2022-09-01,Other,220417.24
Nova Scotia,2022-09-01,Flower,770.75
Texas,2022-09-01,Edibles,97439.86
Minnesota,2022-09-01,Edibles,128355.63
Nunavut,2022-09-01,Concentrates,24539.96
Colorado,2022-09-01,Vapes,5992153.81
New Mexico,2022-09-01,Vapes,10263570.51
Saskatchewan,2022-09-01,Flower,5241216.66
Massachusetts,2022-09-01,Edibles,19205391.54
West Virginia,2022-10-01,Vapes,1071011.94
Colorado,2022-10-01,Pre-Rolls,2270195.02
District of Columbia,2022-10-01,Vapes,676886.09
New Jersey,2022-10-01,Edibles,5171162.73
Nunavut,2022-10-01,Flower,197588.83
Rhode Island,2022-10-01,Vapes,228031.01
Utah,2022-10-01,Pre-Rolls,958.42
Pennsylvania,2022-10-01,Flower,34232779.98
Illinois,2022-10-01,Pre-Rolls,8917571.88
British Columbia,2022-10-01,Edibles,4680241.56
Rhode Island,2022-10-01,Flower,1375862.03
Louisiana,2022-10-01,Flower,895422.21
Newfoundland and Labrador,2022-10-01,Concentrates,420989.61
Nova Scotia,2022-10-01,Concentrates,18044.46
Arizona,2022-10-01,Vapes,23531309.56
Delaware,2022-10-01,Concentrates,217860.41
New York,2022-10-01,Concentrates,91733.52
District of Columbia,2022-10-01,Edibles,322163.64
Nunavut,2022-10-01,Pre-Rolls,104421.79
Mississippi,2022-10-01,Other,32715.27
New Jersey,2022-10-01,Flower,18947265.41
Ontario,2022-10-01,Concentrates,6897729.20
Maine,2022-10-01,Pre-Rolls,2720214.45
Minnesota,2022-10-01,Edibles,166798.96
South Dakota,2022-10-01,Flower,889637.70
Louisiana,2022-10-01,Concentrates,86615.14
Mississippi,2022-10-01,Vapes,0.00
Washington,2022-10-01,Other,4133035.40
Oklahoma,2022-10-01,Vapes,27395083.16
Hawaii,2022-10-01,Other,293856.11
Delaware,2022-10-01,Other,222530.39
Washington,2022-10-01,Concentrates,8838547.77
Montana,2022-10-01,Edibles,634554.16
Utah,2022-10-01,Edibles,953221.50
Delaware,2022-10-01,Pre-Rolls,178884.71
Minnesota,2022-10-01,Flower,1164560.63
Minnesota,2022-10-01,Pre-Rolls,278560.38
California,2022-10-01,Flower,138504543.34
Ontario,2022-10-01,Vapes,24733704.64
Alberta,2022-10-01,Flower,26018708.00
New Jersey,2022-10-01,Concentrates,2035883.99
Nunavut,2022-10-01,Vapes,61805.27
Delaware,2022-10-01,Vapes,797993.75
Nova Scotia,2022-10-01,Pre-Rolls,362.65
Illinois,2022-10-01,Vapes,36763316.72
South Dakota,2022-10-01,Other,273508.83
Florida,2022-10-01,Vapes,26935307.61
Manitoba,2022-10-01,Flower,5508689.68
Oregon,2022-10-01,Pre-Rolls,9854131.71
South Dakota,2022-10-01,Edibles,246724.30
Puerto Rico,2022-10-01,Concentrates,437244.88
Virginia,2022-10-01,Pre-Rolls,204072.87
Maine,2022-10-01,Vapes,3267749.32
Maine,2022-10-01,Concentrates,1355421.33
Nevada,2022-10-01,Concentrates,3033360.37
Pennsylvania,2022-10-01,Vapes,31963781.33
Northern Mariana Islands,2022-10-01,Other,0.00
Massachusetts,2022-10-01,Vapes,34716518.49
New Brunswick,2022-10-01,Pre-Rolls,649160.52
Alberta,2022-10-01,Concentrates,3163711.78
Pennsylvania,2022-10-01,Edibles,214205.92
Maine,2022-10-01,Flower,11014996.84
Arkansas,2022-10-01,Concentrates,2105931.33
Alberta,2022-10-01,Edibles,4319226.98
New Brunswick,2022-10-01,Other,60354.13
Northern Mariana Islands,2022-10-01,Flower,0.00
Mississippi,2022-10-01,Concentrates,0.00
Ontario,2022-10-01,Edibles,11297787.38
California,2022-10-01,Other,10767450.68
Florida,2022-10-01,Pre-Rolls,460820.91
Alaska,2022-10-01,Edibles,95700.80
Saskatchewan,2022-10-01,Other,1345970.29
Ohio,2022-10-01,Concentrates,1813980.19
Virginia,2022-10-01,Vapes,2202651.81
Colorado,2022-10-01,Other,7694838.32
New Brunswick,2022-10-01,Flower,1491419.03
Illinois,2022-10-01,Other,2726076.55
Ohio,2022-10-01,Other,1875616.67
North Dakota,2022-10-01,Edibles,0.00
South Carolina,2022-10-01,Other,0.00
Massachusetts,2022-10-01,Other,5494914.12
Illinois,2022-10-01,Concentrates,7900915.73
North Dakota,2022-10-01,Pre-Rolls,4505.69
New Mexico,2022-10-01,Concentrates,1494086.52
Maryland,2022-10-01,Other,939687.76
Louisiana,2022-10-01,Vapes,338431.95
Massachusetts,2022-10-01,Pre-Rolls,28976885.90
Nevada,2022-10-01,Flower,26772299.88
Colorado,2022-10-01,Flower,109136335.30
New Mexico,2022-10-01,Flower,15190409.69
Alaska,2022-10-01,Concentrates,139672.23
Arizona,2022-10-01,Flower,49286336.25
Montana,2022-10-01,Vapes,1040313.49
Ohio,2022-10-01,Vapes,10085293.85
Vermont,2022-10-01,Pre-Rolls,222744.71
New Hampshire,2022-10-01,Concentrates,69242.08
Virginia,2022-10-01,Concentrates,80778.69
Nunavut,2022-10-01,Concentrates,39317.10
Maine,2022-10-01,Other,2099583.61
Vermont,2022-10-01,Vapes,962610.29
Oregon,2022-10-01,Vapes,18279406.38
Alaska,2022-10-01,Other,72923.73
California,2022-10-01,Concentrates,26014702.33
Oregon,2022-10-01,Flower,25549830.63
Montana,2022-10-01,Other,306470.33
Connecticut,2022-10-01,Other,1255237.84
Arizona,2022-10-01,Edibles,11326135.38
New York,2022-10-01,Edibles,2210105.63
Nova Scotia,2022-10-01,Flower,770.77
Illinois,2022-10-01,Flower,55134689.90
Iowa,2022-10-01,Concentrates,49839.85
Washington,2022-10-01,Flower,27268546.53
Arkansas,2022-10-01,Flower,12721123.08
Pennsylvania,2022-10-01,Other,6847328.04
Nevada,2022-10-01,Vapes,18233014.95
Florida,2022-10-01,Other,4298933.98
Mississippi,2022-10-01,Edibles,0.00
Yukon,2022-10-01,Vapes,109116.13
South Carolina,2022-10-01,Vapes,0.00
West Virginia,2022-10-01,Edibles,0.00
British Columbia,2022-10-01,Pre-Rolls,16571341.15
Manitoba,2022-10-01,Other,1382515.14
Colorado,2022-10-01,Vapes,6017909.16
Pennsylvania,2022-10-01,Concentrates,9892541.88
Arkansas,2022-10-01,Vapes,5231424.37
Delaware,2022-10-01,Edibles,196014.64
New Jersey,2022-10-01,Vapes,10123258.68
Texas,2022-10-01,Other,190559.40
Texas,2022-10-01,Edibles,68947.90
British Columbia,2022-10-01,Concentrates,2869379.56
Connecticut,2022-10-01,Concentrates,1400913.34
South Carolina,2022-10-01,Pre-Rolls,0.00
British Columbia,2022-10-01,Flower,21328620.50
Northern Mariana Islands,2022-10-01,Edibles,0.00
Nevada,2022-10-01,Edibles,9076183.92
Colorado,2022-10-01,Edibles,4585862.95
Newfoundland and Labrador,2022-10-01,Flower,1828402.07
California,2022-10-01,Pre-Rolls,53819031.17
Michigan,2022-10-01,Flower,103874483.90
Arkansas,2022-10-01,Other,516707.02
Florida,2022-10-01,Concentrates,14237780.04
Utah,2022-10-01,Vapes,2997790.27
Oregon,2022-10-01,Other,3669317.09
Texas,2022-10-01,Vapes,232032.46
Oregon,2022-10-01,Edibles,10833403.02
Michigan,2022-10-01,Edibles,21595591.95
New York,2022-10-01,Vapes,6911436.81
New Mexico,2022-10-01,Pre-Rolls,4058958.36
Missouri,2022-10-01,Vapes,6734713.87
Texas,2022-10-01,Pre-Rolls,54319.15
Utah,2022-10-01,Concentrates,166398.79
New Hampshire,2022-10-01,Vapes,324974.45
Oklahoma,2022-10-01,Concentrates,10645922.58
Michigan,2022-10-01,Pre-Rolls,24701339.25
Vermont,2022-10-01,Other,575326.12
British Columbia,2022-10-01,Vapes,10647787.71
New Mexico,2022-10-01,Vapes,10534673.06
Massachusetts,2022-10-01,Flower,54963692.39
Rhode Island,2022-10-01,Other,326297.53
Ontario,2022-10-01,Other,10634622.84
West Virginia,2022-10-01,Concentrates,278545.35
New Jersey,2022-10-01,Other,994719.16
Missouri,2022-10-01,Concentrates,2683062.79
Rhode Island,2022-10-01,Edibles,73981.74
Louisiana,2022-10-01,Other,133862.97
District of Columbia,2022-10-01,Pre-Rolls,244999.28
Nova Scotia,2022-10-01,Other,797.18
Louisiana,2022-10-01,Edibles,233904.66
Iowa,2022-10-01,Edibles,12116.09
Alberta,2022-10-01,Other,7668322.97
Alaska,2022-10-01,Pre-Rolls,233025.54
Arizona,2022-10-01,Pre-Rolls,12006655.68
Rhode Island,2022-10-01,Pre-Rolls,62328.55
South Dakota,2022-10-01,Concentrates,53893.00
Mississippi,2022-10-01,Flower,574658.24
Missouri,2022-10-01,Other,524182.61
Oklahoma,2022-10-01,Pre-Rolls,16423049.34
Maryland,2022-10-01,Vapes,7999193.77
Montana,2022-10-01,Flower,2085394.79
Florida,2022-10-01,Flower,104071139.99
Hawaii,2022-10-01,Concentrates,478846.41
Yukon,2022-10-01,Pre-Rolls,169454.03
New Hampshire,2022-10-01,Pre-Rolls,167773.44
West Virginia,2022-10-01,Flower,2890413.32
Virginia,2022-10-01,Other,491495.84
British Columbia,2022-10-01,Other,3933902.51
Oklahoma,2022-10-01,Flower,60399531.27
New Brunswick,2022-10-01,Edibles,272487.57
California,2022-10-01,Vapes,103631873.82
South Carolina,2022-10-01,Edibles,0.00
Manitoba,2022-10-01,Concentrates,528195.71
North Dakota,2022-10-01,Vapes,374506.44
New Hampshire,2022-10-01,Flower,12437.91
Iowa,2022-10-01,Vapes,185984.49
Yukon,2022-10-01,Edibles,15797.83
Washington,2022-10-01,Edibles,10603752.49
Washington,2022-10-01,Vapes,18905346.64
Puerto Rico,2022-10-01,Flower,8697213.28
Puerto Rico,2022-10-01,Vapes,1218999.13
Alberta,2022-10-01,Vapes,17317829.34
Alaska,2022-10-01,Flower,974865.25
Manitoba,2022-10-01,Edibles,1033398.23
Connecticut,2022-10-01,Pre-Rolls,1599294.82
Maryland,2022-10-01,Concentrates,2952638.43
Saskatchewan,2022-10-01,Pre-Rolls,1901921.10
West Virginia,2022-10-01,Other,168189.72
New York,2022-10-01,Other,2172508.05
South Dakota,2022-10-01,Vapes,593420.86
Nunavut,2022-10-01,Edibles,7867.25
Michigan,2022-10-01,Vapes,45133162.01
Pennsylvania,2022-10-01,Pre-Rolls,0.04
Colorado,2022-10-01,Concentrates,18781472.20
Ohio,2022-10-01,Flower,20402587.62
Ontario,2022-10-01,Flower,66056296.22
Nevada,2022-10-01,Other,2324053.16
Utah,2022-10-01,Other,699037.33
Hawaii,2022-10-01,Edibles,299199.99
Newfoundland and Labrador,2022-10-01,Pre-Rolls,985725.18
Montana,2022-10-01,Pre-Rolls,495331.72
Manitoba,2022-10-01,Pre-Rolls,2817540.87
New Hampshire,2022-10-01,Edibles,237928.39
Vermont,2022-10-01,Flower,1337017.92
Oklahoma,2022-10-01,Other,13050004.89
Vermont,2022-10-01,Concentrates,57853.31
Saskatchewan,2022-10-01,Flower,5432363.01
Ontario,2022-10-01,Pre-Rolls,40643698.25
Missouri,2022-10-01,Edibles,4935440.82
Maine,2022-10-01,Edibles,3640351.59
Newfoundland and Labrador,2022-10-01,Other,389513.65
Texas,2022-10-01,Concentrates,35548.57
Mississippi,2022-10-01,Pre-Rolls,8547.03
New York,2022-10-01,Flower,6393004.12
Michigan,2022-10-01,Concentrates,13073679.55
Maryland,2022-10-01,Flower,20515056.19
Maryland,2022-10-01,Pre-Rolls,2431328.71
Utah,2022-10-01,Flower,2527966.42
District of Columbia,2022-10-01,Concentrates,95488.45
Nova Scotia,2022-10-01,Edibles,10839.14
Oregon,2022-10-01,Concentrates,8868845.31
New Mexico,2022-10-01,Edibles,6122160.83
Yukon,2022-10-01,Other,62837.13
Virginia,2022-10-01,Flower,2516276.98
South Dakota,2022-10-01,Pre-Rolls,320536.20
Minnesota,2022-10-01,Vapes,271590.45
Virginia,2022-10-01,Edibles,645439.01
Saskatchewan,2022-10-01,Concentrates,413414.54
New Brunswick,2022-10-01,Vapes,523903.32
Iowa,2022-10-01,Other,215542.67
Vermont,2022-10-01,Edibles,469220.31
Texas,2022-10-01,Flower,121354.62
Yukon,2022-10-01,Concentrates,53788.97
Louisiana,2022-10-01,Pre-Rolls,171346.46
New Mexico,2022-10-01,Other,1533377.06
South Carolina,2022-10-01,Flower,0.00
Manitoba,2022-10-01,Vapes,2791496.81
Yukon,2022-10-01,Flower,332457.61
Alberta,2022-10-01,Pre-Rolls,16786368.04
Arkansas,2022-10-01,Edibles,2921794.70
New York,2022-10-01,Pre-Rolls,727797.98
Newfoundland and Labrador,2022-10-01,Edibles,455105.14
Puerto Rico,2022-10-01,Other,357608.76
District of Columbia,2022-10-01,Flower,2182864.79
Florida,2022-10-01,Edibles,275922.52
Ohio,2022-10-01,Edibles,5666373.15
Massachusetts,2022-10-01,Concentrates,5844862.64
Ohio,2022-10-01,Pre-Rolls,27517.96
Arkansas,2022-10-01,Pre-Rolls,
North Dakota,2022-10-01,Concentrates,132752.93
Connecticut,2022-10-01,Edibles,1147363.16
Connecticut,2022-10-01,Vapes,5009849.92
Minnesota,2022-10-01,Concentrates,0.00
New Jersey,2022-10-01,Pre-Rolls,3087726.72
Nunavut,2022-10-01,Other,29759.84
Maryland,2022-10-01,Edibles,5182416.01
Saskatchewan,2022-10-01,Vapes,3475465.54
Arizona,2022-10-01,Concentrates,13323616.24
Michigan,2022-10-01,Other,2568304.46
Delaware,2022-10-01,Flower,1058533.58
New Hampshire,2022-10-01,Other,130119.30
Nova Scotia,2022-10-01,Vapes,713.45
Newfoundland and Labrador,2022-10-01,Vapes,74701.54
Montana,2022-10-01,Concentrates,567593.02
Washington,2022-10-01,Pre-Rolls,13641533.08
Missouri,2022-10-01,Flower,18895697.05
Alaska,2022-10-01,Vapes,213740.35
Oklahoma,2022-10-01,Edibles,28144609.22
North Dakota,2022-10-01,Flower,699115.78
Rhode Island,2022-10-01,Concentrates,359372.01
Puerto Rico,2022-10-01,Pre-Rolls,1169.93
Nevada,2022-10-01,Pre-Rolls,8593169.93
